0-0-0-0,2
0-0-0-1,2
0-0-11-0,6
0-0-11-1,6
0-0-2-0,5
0-0-2-1,5
0-0-3-0,2
0-0-3-1,2
0-0-4-0,2
0-0-4-1,2
0-0-5-0,5
0-0-5-1,5
0-0-6-0,5
0-0-6-1,5
0-0-7-0,6
0-0-7-1,6
0-0-8-0,2
0-0-8-1,2
0-0-9-0,5
0-0-9-1,5
0-1-0-0,5
0-1-0-1,5
0-1-1-0,5
0-1-1-1,5
0-1-10-0,5
0-1-10-1,5
0-1-11-0,5
0-1-11-1,5
0-1-12-0,5
0-1-12-1,5
0-1-2-0,6
0-1-2-1,6
0-1-3-0,5
0-1-3-1,5
0-1-4-0,5
0-1-4-1,5
0-1-5-0,5
0-1-5-1,5
0-1-6-0,5
0-1-6-1,5
0-1-7-0,2
0-1-7-1,2
0-1-9-0,2
0-1-9-1,2
0-10-0-0,5
0-10-0-1,5
0-10-1-0,5
0-10-1-1,5
0-10-2-0,5
0-10-2-1,5
0-11-0-0,5
0-11-0-1,5
0-11-1-0,2
0-11-1-1,2
0-11-2-0,6
0-11-2-1,6
0-11-3-0,2
0-11-3-1,2
0-12-0-0,5
0-12-0-1,5
0-12-1-0,5
0-12-1-1,5
0-12-2-0,2
0-12-2-1,2
0-12-4-0,5
0-12-4-1,5
0-13-0-0,5
0-13-0-1,5
0-13-1-0,5
0-13-1-1,5
0-13-10-0,5
0-13-10-1,5
0-13-11-0,5
0-13-11-1,5
0-13-2-0,5
0-13-2-1,5
0-13-3-0,5
0-13-3-1,5
0-13-4-0,2
0-13-4-1,2
0-13-5-0,5
0-13-5-1,5
0-13-6-0,5
0-13-6-1,5
0-13-7-0,5
0-13-7-1,5
0-13-8-0,5
0-13-8-1,5
0-13-9-0,5
0-13-9-1,5
0-2-0-0,5
0-2-0-1,5
0-2-1-0,5
0-2-1-1,5
0-2-2-0,5
0-2-2-1,5
0-2-3-0,5
0-2-3-1,5
0-2-4-0,5
0-2-4-1,5
